,stations,lats,lons,start,end,datapoints,continuous datapoints
68,1159110_Q_Day.Cmd.txt,-31.806667,20.357778,1927-10,2020-09,33832,20737
358,1160842_Q_Day.Cmd.txt,-29.00525,29.88263889,1962-11,2020-09,20444,4904
46,1159320_Q_Day.Cmd.txt,-29.658056,25.972778,1954-03,2020-09,22752,5572
381,1160955_Q_Day.Cmd.txt,-33.910556,20.713056,1949-03,2020-09,24402,3858
382,1160957_Q_Day.Cmd.txt,-34.020278,20.535556,1951-05,2020-09,23174,3177
385,1160970_Q_Day.Cmd.txt,-28.872778,31.457222,1948-08,2020-09,25138,9856
388,1160975_Q_Day.Cmd.txt,-28.748056,31.745556,1962-12,2020-09,16923,2908
421,1196413_Q_Day.Cmd.txt,-25.81056,27.90983,1922-10,2020-09,35552,14061
434,1196440_Q_Day.Cmd.txt,-25.20631,27.55794,1983-01,2020-09,12391,5437
438,1196447_Q_Day.Cmd.txt,-25.12856,27.62858,1955-09,2020-09,23588,5732
439,1196450_Q_Day.Cmd.txt,-24.69508,27.409,1987-10,2020-09,11356,4115
440,1196455_Q_Day.Cmd.txt,-24.39619,27.08983,2002-10,2020-09,5737,2284
494,1199100_Q_Day.Cmd.txt,-26.279722,30.594167,1963-10,2020-09,19852,2593
496,1199115_Q_Day.Cmd.txt,-26.38708,30.84461,1976-09,2020-09,14210,2473
709,1259070_Q_Day.Cmd.txt,-24.35,17.56666667,1976-12,2020-09,14965,2608
502,1199415_Q_Day.Cmd.txt,-26.51336,30.78617,1974-10,2020-09,16491,2511
504,1199453_Q_Day.Cmd.txt,-26.82786,30.72831,1950-08,2020-09,24878,3642
505,1199455_Q_Day.Cmd.txt,-26.67717,30.70208,1975-08,2020-09,16166,4239
506,1199460_Q_Day.Cmd.txt,-27.114444,30.831389,1950-08,2020-09,23738,6446
507,1199465_Q_Day.Cmd.txt,-27.06519,30.99356,1968-08,2020-09,17120,2406
585,1259104_Q_Day.Cmd.txt,-24.26666667,17.06666667,1976-12,2020-09,15374,2559
584,1259103_Q_Day.Cmd.txt,-24.167,17.35,1970-06,2020-09,14900,2918
564,1259060_Q_Day.Cmd.txt,-24.18333333,17.01666667,1976-12,2020-09,14190,3958
553,1258500_Q_Day.Cmd.txt,-23.5,14.96666667,1977-11,2020-09,15475,7028
349,1160795_Q_Day.Cmd.txt,-29.533611,31.089167,1966-10,2020-09,13314,2670
198,1160353_Q_Day.Cmd.txt,-33.74916667,21.44444444,1982-07,2020-09,13849,2895
85,1159337_Q_Day.Cmd.txt,-28.94861111,26.32111111,1999-11,2020-09,7294,2133
94,1159450_Q_Day.Cmd.txt,-28.71149156,24.07290156,1995-02,2020-09,8128,2518
197,1160352_Q_Day.Cmd.txt,-33.69388889,21.14305556,1982-04,2020-09,13882,3252
69,1159120_Q_Day.Cmd.txt,-31.815278,20.578056,1963-03,2020-09,18597,4201
79,1159310_Q_Day.Cmd.txt,-29.144167,26.318056,1923-10,2020-09,33006,6847
77,1159304_Q_Day.Cmd.txt,-29.1828515,23.57510692,1989-02,2020-09,7780,3156
88,1159405_Q_Day.Cmd.txt,-28.38651139,24.29707622,1994-11,2020-09,7916,1975
86,1159400_Q_Day.Cmd.txt,-27.573333,24.745833,1923-10,2020-09,34738,17650
75,1159302_Q_Day.Cmd.txt,-29.161944,23.695833,1962-08,2020-09,19225,3789
83,1159333_Q_Day.Cmd.txt,-29.16083333,26.57222222,1918-07,2020-09,23493,12510
95,1159490_Q_Day.Cmd.txt,-28.51622689,24.60069589,1968-08,2020-09,18325,4255
74,1159301_Q_Day.Cmd.txt,-29.651667,22.745833,1959-05,2020-09,20792,4364
72,1159290_Q_Day.Cmd.txt,-28.77466011,20.72242939,1993-07,2020-09,9840,6085
84,1159335_Q_Day.Cmd.txt,-29.02861111,24.63833333,1989-08,2020-09,10920,592
71,1159130_Q_Day.Cmd.txt,-30.474444,20.519167,1973-03,2020-09,16943,6802
70,1159125_Q_Day.Cmd.txt,-31.43716033,20.47416897,1987-05,2020-09,10062,6279
87,1159403_Q_Day.Cmd.txt,-27.90320789,24.61514311,1951-05,2020-09,24446,2953
111,1159555_Q_Day.Cmd.txt,-26.73828,27.59197,1996-10,2020-08,7029,1909
108,1159548_Q_Day.Cmd.txt,-26.64428,27.09033,1904-08,2020-08,41886,21105
324,1160750_Q_Day.Cmd.txt,-29.071389,30.245556,1960-05,2020-08,21410,5768
271,1160617_Q_Day.Cmd.txt,-32.99163889,27.64002778,1994-02,2020-08,9528,1894
122,1159673_Q_Day.Cmd.txt,-28.88388889,27.88944444,1991-10,2020-08,9832,682
127,1159811_Q_Day.Cmd.txt,-27.43083333,28.52638889,1985-03,2020-08,11863,3320
128,1159813_Q_Day.Cmd.txt,-27.30138889,28.58555556,1985-06,2020-08,12576,3835
413,1196350_Q_Day.Cmd.txt,-25.776944,27.761111,1922-10,2020-08,35239,14061
251,1160523_Q_Day.Cmd.txt,-31.7775,25.3175,1982-08,2020-08,13895,13895
132,1159830_Q_Day.Cmd.txt,-28.375556,28.861667,1963-12,2020-08,19400,3105
109,1159549_Q_Day.Cmd.txt,-26.37022,27.24811,1971-05,2020-08,17105,2954
560,1258509_Q_Day.Cmd.txt,-22.71666667,16.6,1977-11,2020-07,13819,2020
100,1159513_Q_Day.Cmd.txt,-27.67138889,27.23694444,1994-10,2020-07,9014,3326
104,1159535_Q_Day.Cmd.txt,-27.38972222,26.46388889,1972-01,2020-07,17662,2054
125,1159805_Q_Day.Cmd.txt,-27.27166667,28.49111111,1913-10,2020-07,38086,5542
1266,1617800_Q_Day.Cmd.txt,9.87,-12.52,1957-06,2020-07,11894,1487
571,1255150_Q_Day.Cmd.txt,-17.26580556,13.313,1980-02,2020-06,12651,2909
522,1234150_Q_Day.Cmd.txt,13.52,2.09,1929-01,2020-06,30109,14942
543,1258150_Q_Day.Cmd.txt,-20.47680556,14.58791667,1974-12,2020-06,15539,4578
153,1160245_Q_Day.Cmd.txt,-33.134444,19.060556,1972-05,2020-05,17166,3864
140,1160095_Q_Day.Cmd.txt,-33.08883333,19.21877778,2011-10,2020-05,3127,3127
1269,1622500_Q_Day.Cmd.txt,8.06,-9.07,1978-01,2020-05,6853,1680
1268,1619600_Q_Day.Cmd.txt,8.5,-10.33,1975-03,2020-05,8311,1424
159,1160263_Q_Day.Cmd.txt,-33.70777778,18.99111111,1966-03,2020-05,19723,2981
156,1160256_Q_Day.Cmd.txt,-33.72277778,18.61666667,1998-10,2020-05,7614,6825
1265,1616700_Q_Day.Cmd.txt,10.5,-12.9,1954-01,2020-05,12273,1002
150,1160220_Q_Day.Cmd.txt,-32.780278,19.283056,1970-04,2020-05,17101,6228
163,1160271_Q_Day.Cmd.txt,-33.379444,19.149444,1964-04,2020-05,20266,8267
154,1160250_Q_Day.Cmd.txt,-33.463889,18.740278,1965-03,2020-05,20098,3804
165,1160276_Q_Day.Cmd.txt,-33.390556,19.171389,1964-04,2020-05,19923,6009
139,1160091_Q_Day.Cmd.txt,-32.59638889,19.00833333,1992-06,2020-05,10008,5744
164,1160275_Q_Day.Cmd.txt,-33.388056,19.159167,1964-05,2020-05,20228,9087
151,1160230_Q_Day.Cmd.txt,-32.211667,18.936667,1971-03,2020-05,16225,2624
152,1160235_Q_Day.Cmd.txt,-31.8625,18.68639,1927-04,2020-05,33586,12371
131,1159825_Q_Day.Cmd.txt,-28.085,28.836667,1971-11,2020-05,17446,4479
161,1160266_Q_Day.Cmd.txt,-33.13083333,18.86277778,1964-11,2020-05,20085,4237
1282,1634500_Q_Day.Cmd.txt,10.3833,-9.3,1938-05,2020-05,25867,6575
1284,1634560_Q_Day.Cmd.txt,9.27,-9.02,1970-06,2020-05,10133,2435
559,1258508_Q_Day.Cmd.txt,-22.8,16.51666667,1977-11,2020-05,14951,2838
90,1159413_Q_Day.Cmd.txt,-27.935,26.12444444,1968-09,2020-05,18204,1803
